File prefix,Document,Country,NSS/WP/DD,ISO Alpha-3 Code,M49 code,Year,Length,segment_count,word_count,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Publishing Ministry,URL Link to Docs,G77 Member,G77_Member_Binary
674,674 Taiwan National Defense Report 1991,Taiwan,DD,TWN,158,1991,219,1019,89314,English (Translated),Chinese (Original),,,,,,,,,,Ministry of National Defense,,No,0
673,673 Taiwan National Defense Report 1989,Taiwan,DD,TWN,158,1989,163,749,68477,English (Translated),Chinese (Original),,,,,,,,,,Ministry of National Defense,,No,0
672,672 Taiwan National Defense Report 1987,Taiwan,DD,TWN,158,1987,143,718,56367,English (Translated),Chinese (Original),,,,,,,,,,Ministry of National Defense,,No,0
671,671 South Korea Defense White Paper 2004,Republic of Korea,WP,KOR,410,2004,329,2980,98677,English (Translated),Korean (Original),,,,,,,,,,Ministry of National Defense,,Former,0
670,670 South Korea Defense White Paper 2000,Republic of Korea,WP,KOR,410,2000,378,1863,94983,English (Translated),Korean (Original),,,,,,,,,,Ministry of National Defense,,Former,0
669,669 Romania White Paper 2015,Romania,WP,ROU,642,2015,60,312,11901,English,,,,,,,,,,,Ministry of National Defense,,Former,0
668,668 Portugal Strategic Concept of National Defense 2017,Portugal,NSS,PRT,620,2017,68,424,13796,English,,,,,,,,,,,Ministry of Defence,,No,0
667,667 Portugal Strategic Concept 2003,Portugal,NSS,PRT,620,2003,27,152,4333,English (Translated),Portuguese (Original),,,,,,,,,,Ministry Of Defence,,No,0
666,666 Norway Total Defence 2018,Norway,NSS,NOR,578,2018,100,1915,48155,English,,,,,,,,,,,Norwegian Ministry of Defence and Norwegian Ministry of Justice and,,No,0
665,665 North Macedonia White Paper 2012,North Macedonia,WP,MKD,807,2012,88,515,17909,English,,,,,,,,,,,Ministry of Defence,,No,0
664,664 North Macedonia White Paper 2005,North Macedonia,WP,MKD,807,2005,41,27,10752,English (Translated),Macedonian (Original),,,,,,,,,,Ministry of Defence,,No,0
663,663 Montenegro National Security Strategy 2018,Montenegro,NSS,MNE,499,2018,64,515,14358,English,,,,,,,,,,,unclear,,No,0
662,662 Montenegro Strategic Defense Review 2013,Montenegro,WP,MNE,499,2013,61,690,21090,English,,,,,,,,,,,Ministry of Defence,,No,0
661,661 Lithuania Military Strategy of Lithuania 2004,Lithuania,DD,LTU,440,2004,12,243,5436,English,,,,,,,,,,,Ministry of National Defence,,No,0
660,660 Japan Defense of Japan 2017,Japan,DD,JPN,392,2017,538,13601,429818,English,,,,,,,,,,,Ministry of Defense,,No,0
659,659 Japan Defense of Japan 2016,Japan,DD,JPN,392,2016,516,13195,406749,English,,,,,,,,,,,Ministry of Defense,,No,0
658,658 Japan Defense of Japan 2015,Japan,DD,JPN,392,2015,451,11129,383577,English,,,,,,,,,,,Ministry of Defense,,No,0
657,657 Japan National Defense Program Guidelines 2013,Japan,WP,JPN,392,2013,31,284,10240,English,,,,,,,,,,,Ministry of Defense,,No,0
656,656 Japan Defense of Japan 2013,Japan,DD,JPN,392,2013,373,4654,159336,English,,,,,,,,,,,Ministry of Defense,,No,0
655,655 Japan National Defense Program Guidelines 2010,Japan,WP,JPN,392,2010,20,214,6592,English,,,,,,,,,,,Ministry of Defence,,No,0
654,654 Japan Defense of Japan 2010,Japan,DD,JPN,392,2010,660,2325,92273,English,,,,,,,,,,,Ministry of Defence,,No,0
653,653 Japan Defense of Japan 2009,Japan,DD,JPN,392,2009,548,6150,193143,English,,,,,,,,,,,Ministry of Defense,,No,0
652,652 Japan Defense of Japan 2008,Japan,DD,JPN,392,2008,599,8420,281081,English,,,,,,,,,,,Ministry of Defense,,No,0
651,651 Japan Defense of Japan 2007,Japan,DD,JPN,392,2007,658,9517,308939,English,,,,,,,,,,,Ministry of Defense,,No,0
650,650 Japan Defense of Japan 2006,Japan,DD,JPN,392,2006,591,7722,253389,English,,,,,,,,,,,Ministry of Defense,,No,0
649,649 Japan Defense of Japan 2005,Japan,DD,JPN,392,2005,87,1123,38411,English,,,,,,,,,,,Ministry of Defense,,No,0
648,648 Japan Defense of Japan 2004,Japan,DD,JPN,392,2004,78,670,32119,English,,,,,,,,,,,Ministry of Defence,,No,0
647,647 Iceland National Security Policy 2016,Iceland,NSS,ISL,352,2016,63,647,17288,English (Translated),Icelandic (Original),,,,,,,,,,Ministry of Foreign Affairs,https://www.althingi.is/altext/145/s/0389.html,No,0
646,646 Hungary National Military Strategy 2014,Hungary,DD,HUN,348,2014,20,223,6128,English (Translated),Hungarian (Original),,,,,,,,,,Ministry of Defence,,No,0
645,645 Hungary National Security Strategy 2007,Hungary,NSS,HUN,348,2007,16,318,10936,English,,,,,,,,,,,Prime Ministers Office,,No,0
643,643 Germany Security Strategy 2008,Germany,NSS,DEU,276,2008,11,198,5545,English,,,,,,,,,,,unclear,,No,0
642,642 Germany White Paper 1994,Germany,DD,DEU,276,1994,30,2665,59950,English (Translated),German (Original),,,,,,,,,,Federal Ministry of Defence,,No,0
